track_name,artist_name,valence,energy
Gold on the Ceiling,The Black Keys,0.565,0.833
Testify,Rage Against The Machine,0.503,0.978
Ways to Go,Grouplove,0.179,0.827
I Am Machine,Three Days Grace,0.476,0.97
Rollin' (Air Raid Vehicle),Limp Bizkit,0.692,0.932
Them Bones,Alice In Chains,0.309,0.946
Happy?,Mudvayne,0.383,0.971
When Legends Rise,Godsmack,0.401,0.916
Maps,Yeah Yeah Yeahs,0.144,0.94
Someday,Nickelback,0.597,0.858
Revolution,The Score,0.567,0.832
Fight For Your Right,Beastie Boys,0.6,0.72
In The End,Black Veil Brides,0.289,0.935
Cowboys from Hell,Pantera,0.437,0.908
Psycho,Puddle Of Mudd,0.433,0.911
My Body,Young the Giant,0.643,0.909
Enemies,Shinedown,0.502,0.966
Beautiful Disaster,311,0.675,0.738
My Curse,Killswitch Engage,0.209,0.956
I Alone,Live,0.113,0.811
Tomorrow - Remastered,Silverchair,0.462,0.714
Not Gonna Die,Skillet,0.475,0.953
Sugar,System Of A Down,0.586,0.889
Comedown,Bush,0.38,0.81
Whore,In This Moment,0.544,0.883
Chelsea Dagger,The Fratellis,0.581,0.825
Glorious Day - Live,Passion,0.166,0.805
Got the Life,Korn,0.584,0.905
Always,Saliva,0.371,0.906
Bottom of a Bottle,Smile Empty Soul,0.459,0.847
The Mountain,Three Days Grace,0.33,0.932
Can't Stop The Bleeding (feat. Gary Clark Jr. & Gramatik),Tom Morello,0.639,0.896
Red Cold River,Breaking Benjamin,0.226,0.967
Got Friends,GoldLink,0.345,0.75
Blood,Breaking Benjamin,0.284,0.971
Call Me When You're Sober,Evanescence,0.328,0.883
Sleepyhead,Passion Pit,0.539,0.719
Shimmer - Single Version,Fuel,0.432,0.795
Awake,Godsmack,0.532,0.758
Lift Me Up,Five Finger Death Punch,0.15,0.985
Absolute Zero,Stone Sour,0.619,0.988
Whispers in the Dark,Skillet,0.335,0.938
Scars,Papa Roach,0.471,0.921
Something Good Can Work,Two Door Cinema Club,0.64,0.833
God's Not Dead (Like A Lion),Newsboys,0.612,0.905
Eagle Birds,The Black Keys,0.609,0.78
Still Waiting,Sum 41,0.528,0.949
Born For Greatness,Papa Roach,0.275,0.85
Somewhere I Belong,Linkin Park,0.442,0.951
White Rabbit,Egypt Central,0.626,0.887
I See You,MISSIO,0.399,0.766
It's Not My Time,3 Doors Down,0.309,0.935
Only Jesus,Casting Crowns,0.307,0.712
The Hand That Feeds,Nine Inch Nails,0.462,0.985
Best Friends,grandson,0.549,0.932
Best News Ever,MercyMe,0.395,0.762
Tighten Up,The Black Keys,0.567,0.705
Solway Firth,Slipknot,0.0369,0.969
My Own Summer (Shove It),Deftones,0.372,0.781
Breath,Breaking Benjamin,0.355,0.869
Face to the Floor,Chevelle,0.669,0.857
Legendary,Skillet,0.242,0.924
SLOW DANCING IN THE DARK - Loud Luxury Remix,Joji,0.509,0.883
Joker And The Thief,Wolfmother,0.456,0.78
Hypnotize,System Of A Down,0.0397,0.92
Under and Over It,Five Finger Death Punch,0.094,0.996
Nobody (feat. Matthew West),Casting Crowns,0.454,0.717
The Outsider,A Perfect Circle,0.422,0.842
Are You Ready,Disturbed,0.521,0.976
Be Legendary,Pop Evil,0.364,0.944
Diamond Eyes (Boom-Lay Boom-Lay Boom),Shinedown,0.448,0.884
"These Days - Live at the Roundhouse, London, UK - July 2011",Foo Fighters,0.192,0.775
Photograph,Nickelback,0.389,0.877
Colors,Crossfade,0.418,0.835
Sleep Now In the Fire,Rage Against The Machine,0.539,0.929
Elevate,Papa Roach,0.59,0.775
Lollipop,Framing Hanley,0.392,0.893
Bitch Came Back,Theory of a Deadman,0.614,0.877
"The Pretender - Live at the Roundhouse, London, UK - July 2011",Foo Fighters,0.0571,0.988
She's American,The 1975,0.513,0.868
"Everlong - Live at the Roundhouse, London, UK - July 2011",Foo Fighters,0.162,0.989
"Walk - Live at the Roundhouse, London, UK - July 2011",Foo Fighters,0.0913,0.981
"White Limo - Live at the Roundhouse, London, UK - July 2011",Foo Fighters,0.14,0.997
Twisted,MISSIO,0.149,0.789
"Arlandria - Live at the Roundhouse, London, UK - July 2011",Foo Fighters,0.0852,0.917
You'll Never Find Me,Korn,0.177,0.903
CASTLE OF GLASS,Linkin Park,0.685,0.911
Doesn't Remind Me,Audioslave,0.225,0.779
Robbers,The 1975,0.358,0.704
Right Left Wrong,Three Days Grace,0.307,0.833
Brother (feat. Gavin DeGraw),NEEDTOBREATHE,0.564,0.803
Jungle,X Ambassadors,0.216,0.748
Painkiller,Three Days Grace,0.438,0.95
Save Me,Skillet,0.446,0.888
Until the Day I Die,Story Of The Year,0.534,0.931
Slither,Velvet Revolver,0.268,0.974
Young Blood,The Naked And Famous,0.358,0.865
Passin' Me By,The Pharcyde,0.613,0.756
Bulletproof,Godsmack,0.644,0.91
You've Got The Love,Florence + The Machine,0.368,0.704
About A Girl,Nirvana,0.591,0.932
So Far Away,Avenged Sevenfold,0.259,0.703
Buried Alive,Avenged Sevenfold,0.469,0.804
Remember Everything,Five Finger Death Punch,0.12,0.824
All My Friends,The Revivalists,0.357,0.837
Only God Knows Why,Kid Rock,0.31,0.749
Half Manne Half Cocaine,Freddie Gibbs,0.678,0.88
Inside the Fire,Disturbed,0.66,0.962
A Place for My Head,Linkin Park,0.457,0.908
Money,The Drums,0.452,0.918
Be Yourself,Audioslave,0.379,0.845
New Divide,Linkin Park,0.38,0.808
Through It All,From Ashes to New,0.494,0.944
D.A.N.C.E,Justice,0.496,0.962
Walk,Foo Fighters,0.191,0.866
Hear Me Now (feat. DIAMANTE),Bad Wolves,0.278,0.806
Anchor,Skillet,0.358,0.754
The Lion and the Lamb,Big Daddy Weave,0.328,0.739
Wasting My Time,Default,0.198,0.776
Breaking the Habit,Linkin Park,0.581,0.849
Hunger Strike - 25th Anniversary Mix,Temple Of The Dog,0.314,0.733
Hemorrhage (In My Hands),Fuel,0.34,0.829
Till I Found You,Phil Wickham,0.221,0.703
Bottom Of The Deep Blue Sea,MISSIO,0.241,0.754
Hurt - NGHTMRE Remix,Oliver Tree,0.394,0.91
Fire Up The Night,New Medicine,0.676,0.945
Fake Names,Freddie Gibbs,0.597,0.712
Higher,The Score,0.442,0.736
Infra-Red,Three Days Grace,0.337,0.907
One For the Money,Escape the Fate,0.385,0.964
Song #3,Stone Sour,0.427,0.945
Failure,Breaking Benjamin,0.383,0.89
Our God,Chris Tomlin,0.216,0.778
Two Weeks,All That Remains,0.542,0.941
The Vengeful One,Disturbed,0.58,0.967
My Own Prison,Creed,0.284,0.778
Longshot,Catfish and the Bottlemen,0.465,0.765
Time of Dying,Three Days Grace,0.452,0.873
Sabotage - Remastered 2009,Beastie Boys,0.49,0.943
The Pride,Five Finger Death Punch,0.354,0.987
When You Die,MGMT,0.495,0.938
A Little Piece of Heaven,Avenged Sevenfold,0.667,0.881
Promise Me,Badflower,0.351,0.797
The Time Is Now,Atreyu,0.396,0.944
Jenny,Nothing More,0.199,0.914
Freeze Me,Death From Above 1979,0.531,0.724
In the Meantime,Spacehog,0.16,0.895
Preacher Man,The Driver Era,0.393,0.947
Love-Hate-Sex-Pain,Godsmack,0.47,0.911
Pretty Sweet,Frank Ocean,0.167,0.724
Dance With The Devil,Breaking Benjamin,0.214,0.926
Mother,Danzig,0.454,0.755
Dig,Incubus,0.463,0.895
DEUTSCHLAND,Rammstein,0.237,0.895
Under Cover of Darkness,The Strokes,0.589,0.775
